,n_problematic_contacts
0,25
1,20
2,16
3,12
4,17
5,15
6,12
7,14
8,16
9,19
10,19
11,21
12,21
13,16
14,16
15,18
16,17
17,16
18,13
19,8
20,11
21,10
22,11
23,15
24,11
25,18
26,16
27,19
28,19
29,17
30,19
31,18
32,20
33,17
34,13
35,18
36,22
37,24
38,28
39,29
40,25
41,23
42,24
43,25
44,26
45,25
46,28
47,26
48,28
49,30
50,33
51,31
52,27
53,24
54,30
55,34
56,33
57,25
58,27
59,28
60,34
61,32
62,37
63,30
64,32
65,30
66,22
67,20
68,21
69,20
70,26
71,23
72,20
73,19
74,16
75,18
76,20
77,19
78,20
79,21
80,22
81,17
82,17
83,15
84,19
85,24
86,20
87,20
88,18
89,13
90,18
91,16
92,14
93,11
94,15
95,15
96,16
97,20
98,17
99,14
100,21
101,20
102,22
103,19
104,20
105,24
106,19
107,23
108,20
109,21
110,18
111,13
112,16
113,14
114,14
115,12
116,13
117,12
118,17
119,19
120,17
121,15
122,17
123,15
124,15
125,18
126,19
127,12
128,15
129,16
130,20
131,20
132,20
133,13
134,13
135,15
136,15
137,14
138,17
139,16
140,14
141,17
142,16
143,18
144,23
145,18
146,20
147,22
148,26
149,26
150,21
151,21
152,17
153,25
154,22
155,18
156,27
157,18
158,12
159,18
160,17
161,10
162,11
163,10
164,11
165,12
166,11
167,12
168,12
169,15
170,13
171,14
172,20
173,14
174,16
175,22
176,21
177,23
178,29
179,20
180,17
181,13
182,16
183,22
184,18
185,14
186,13
187,15
188,13
189,13
190,13
191,15
192,15
193,12
194,11
195,13
196,9
197,10
198,12
199,13
200,19
201,22
202,22
203,19
204,18
205,18
206,22
207,18
208,15
209,10
210,12
211,15
212,25
213,21
214,18
215,17
216,15
217,19
218,18
219,20
220,17
221,18
222,11
223,10
224,13
225,15
226,18
227,18
228,18
229,19
230,13
231,13
232,16
233,15
234,12
235,9
236,10
237,10
238,17
239,16
240,16
241,17
242,20
243,15
244,15
245,16
246,17
247,13
248,13
249,16
250,15
251,21
252,17
253,15
254,16
255,15
256,16
257,15
258,15
259,23
260,22
261,22
262,22
263,21
264,17
265,23
266,21
267,25
268,26
269,25
270,28
271,31
272,30
273,30
274,27
275,22
276,20
277,22
278,23
279,22
280,20
281,19
282,14
283,13
284,14
285,17
286,20
287,19
288,17
289,16
290,20
291,22
292,25
293,26
294,27
295,22
296,22
297,20
298,20
299,18
300,13
301,15
302,13
303,16
304,16
305,17
306,27
307,25
308,23
309,28
310,23
311,21
312,19
313,19
314,21
315,26
316,18
317,20
318,22
319,17
320,13
321,11
322,13
323,13
324,12
325,12
326,11
327,11
328,9
329,13
330,17
331,17
332,18
333,13
334,10
335,15
336,14
337,13
338,10
339,16
340,15
341,12
342,12
343,11
344,13
345,11
346,15
347,22
348,22
349,20
350,20
351,19
352,20
353,24
354,21
355,18
356,21
357,22
358,23
359,24
360,24
361,22
362,17
363,23
364,28
365,26
366,22
367,21
368,22
369,22
370,22
371,28
372,24
373,25
374,19
375,21
376,19
377,20
378,21
379,18
380,20
381,11
382,15
383,13
384,10
385,12
386,16
387,19
388,15
389,11
390,11
391,14
392,15
393,16
394,19
395,17
396,16
397,15
398,13
399,13
400,10
401,12
402,16
403,22
404,19
405,17
406,18
407,21
408,14
409,21
410,14
411,23
412,20
413,17
414,17
415,14
416,15
417,11
418,12
419,16
420,16
421,17
422,12
423,19
424,18
425,15
426,15
427,13
428,13
429,14
430,12
431,12
432,16
433,21
434,16
435,20
436,14
437,17
438,11
439,12
440,15
441,17
442,20
443,27
444,25
445,19
446,21
447,21
448,23
449,29
450,30
451,30
452,21
453,19
454,13
455,24
456,28
457,24
458,25
459,23
460,23
461,26
462,25
463,24
464,25
465,29
466,32
467,28
468,34
469,33
470,32
471,32
472,35
473,33
474,31
475,28
476,29
477,32
478,28
479,23
480,21
481,19
482,19
483,24
484,24
485,26
486,28
487,28
488,27
489,30
490,26
491,29
492,27
493,22
494,22
495,23
496,21
497,20
498,21
499,20
500,18
