,n_problematic_contacts
0,9
1,8
2,10
3,9
4,9
5,9
6,13
7,15
8,13
9,8
10,14
11,10
12,10
13,14
14,14
15,10
16,10
17,10
18,10
19,9
20,11
21,17
22,18
23,18
24,20
25,15
26,14
27,13
28,15
29,15
30,18
31,21
32,24
33,24
34,24
35,20
36,19
37,20
38,21
39,13
40,17
41,22
42,19
43,13
44,15
45,18
46,19
47,18
48,16
49,18
50,13
51,13
52,14
53,19
54,20
55,25
56,24
57,25
58,26
59,27
60,27
61,31
62,28
63,28
64,23
65,18
66,19
67,19
68,13
69,17
70,19
71,22
72,23
73,21
74,15
75,16
76,19
77,20
78,23
79,22
80,20
81,23
82,23
83,26
84,24
85,25
86,24
87,18
88,20
89,20
90,22
91,23
92,20
93,20
94,12
95,15
96,11
97,15
98,14
99,17
100,13
101,13
102,13
103,14
104,11
105,11
106,12
107,17
108,15
109,9
110,14
111,17
112,17
113,17
114,13
115,10
116,10
117,14
118,16
119,16
120,16
121,20
122,21
123,17
124,14
125,12
126,10
127,14
128,19
129,13
130,9
131,13
132,17
133,15
134,14
135,18
136,17
137,20
138,17
139,20
140,20
141,14
142,17
143,18
144,15
145,18
146,17
147,20
148,22
149,25
150,25
151,20
152,18
153,20
154,18
155,17
156,19
157,19
158,21
159,15
160,15
161,15
162,17
163,18
164,11
165,10
166,11
167,12
168,13
169,12
170,13
171,15
172,16
173,14
174,11
175,17
176,14
177,14
178,10
179,13
180,14
181,12
182,15
183,19
184,25
185,28
186,34
187,31
188,29
189,34
190,31
191,27
192,31
193,27
194,29
195,30
196,31
197,29
198,25
199,21
200,14
201,12
202,16
203,16
204,15
205,17
206,17
207,19
208,19
209,15
210,15
211,10
212,13
213,10
214,9
215,7
216,6
217,9
218,8
219,12
220,15
221,21
222,19
223,21
224,11
225,11
226,11
227,9
228,11
229,11
230,13
231,9
232,8
233,9
234,12
235,8
236,7
237,8
238,10
239,11
240,10
241,14
242,14
243,19
244,12
245,13
246,14
247,16
248,19
249,26
250,29
251,24
252,19
253,17
254,17
255,14
256,15
257,19
258,20
259,21
260,18
261,15
262,16
263,12
264,18
265,10
266,10
267,15
268,16
269,20
270,21
271,18
272,22
273,22
274,16
275,15
276,8
277,9
278,9
279,5
280,8
281,14
282,16
283,16
284,22
285,20
286,26
287,27
288,25
289,28
290,28
291,35
292,30
293,28
294,33
295,29
296,25
297,28
298,28
299,25
300,22
301,23
302,23
303,23
304,21
305,21
306,23
307,23
308,23
309,24
310,25
311,21
312,21
313,20
314,23
315,25
316,27
317,19
318,25
319,30
320,29
321,30
322,24
323,20
324,22
325,19
326,19
327,20
328,20
329,20
330,21
331,18
332,17
333,22
334,22
335,19
336,22
337,23
338,22
339,19
340,14
341,16
342,14
343,16
344,18
345,13
346,13
347,17
348,16
349,15
350,17
351,18
352,17
353,15
354,14
355,9
356,12
357,14
358,11
359,11
360,10
361,13
362,9
363,10
364,10
365,8
366,10
367,7
368,6
369,6
370,7
371,10
372,11
373,9
374,7
375,9
376,9
377,8
378,6
379,7
380,6
381,3
382,6
383,7
384,9
385,11
386,10
387,13
388,15
389,15
390,17
391,19
392,25
393,21
394,21
395,19
396,14
397,14
398,11
399,12
400,12
401,11
402,15
403,16
404,17
405,15
406,14
407,14
408,17
409,17
410,16
411,16
412,14
413,19
414,12
415,21
416,21
417,15
418,16
419,14
420,12
421,17
422,16
423,14
424,16
425,16
426,16
427,13
428,17
429,15
430,17
431,19
432,14
433,17
434,17
435,19
436,18
437,12
438,15
439,12
440,13
441,10
442,11
443,16
444,20
445,19
446,18
447,17
448,20
449,19
450,21
451,21
452,18
453,14
454,10
455,8
456,6
457,10
458,11
459,12
460,14
461,15
462,12
463,12
464,11
465,16
466,16
467,18
468,11
469,10
470,15
471,14
472,15
473,12
474,12
475,10
476,11
477,10
478,10
479,9
480,7
481,7
482,11
483,12
484,13
485,9
486,12
487,17
488,14
489,7
490,9
491,10
492,14
493,10
494,9
495,14
496,14
497,10
498,16
499,19
500,16
