,n_problematic_contacts
0,21
1,23
2,21
3,20
4,20
5,21
6,22
7,24
8,21
9,18
10,16
11,15
12,17
13,18
14,17
15,17
16,20
17,13
18,14
19,13
20,16
21,16
22,25
23,23
24,25
25,25
26,26
27,27
28,27
29,29
30,30
31,24
32,22
33,25
34,24
35,24
36,22
37,21
38,27
39,25
40,23
41,26
42,27
43,30
44,29
45,31
46,32
47,27
48,24
49,20
50,17
51,20
52,24
53,27
54,22
55,23
56,20
57,21
58,22
59,24
60,23
61,25
62,27
63,23
64,27
65,26
66,21
67,23
68,24
69,27
70,30
71,22
72,21
73,18
74,15
75,19
76,19
77,22
78,26
79,23
80,23
81,20
82,19
83,23
84,19
85,17
86,16
87,13
88,17
89,11
90,12
91,13
92,15
93,16
94,19
95,20
96,18
97,16
98,17
99,17
100,13
101,14
102,17
103,15
104,17
105,17
106,18
107,16
108,17
109,18
110,18
111,16
112,18
113,18
114,14
115,13
116,18
117,17
118,15
119,17
120,17
121,13
122,14
123,20
124,21
125,17
126,18
127,15
128,11
129,8
130,7
131,13
132,19
133,19
134,17
135,15
136,16
137,14
138,16
139,19
140,17
141,16
142,17
143,15
144,14
145,12
146,9
147,7
148,8
149,11
150,14
151,16
152,13
153,13
154,11
155,13
156,15
157,12
158,13
159,17
160,15
161,15
162,11
163,16
164,16
165,16
166,15
167,15
168,9
169,12
170,17
171,16
172,18
173,17
174,20
175,21
176,16
177,16
178,14
179,13
180,13
181,16
182,14
183,16
184,20
185,18
186,17
187,13
188,8
189,10
190,13
191,12
192,11
193,5
194,9
195,7
196,8
197,14
198,15
199,14
200,17
201,10
202,11
203,15
204,17
205,21
206,18
207,18
208,22
209,19
210,20
211,20
212,23
213,20
214,18
215,18
216,19
217,19
218,17
219,19
220,19
221,19
222,18
223,19
224,19
225,14
226,17
227,13
228,16
229,18
230,19
231,19
232,18
233,16
234,13
235,12
236,14
237,13
238,14
239,16
240,14
241,16
242,21
243,17
244,14
245,18
246,15
247,13
248,12
249,12
250,11
251,18
252,22
253,15
254,13
255,14
256,14
257,17
258,15
259,16
260,18
261,14
262,15
263,16
264,12
265,18
266,16
267,12
268,14
269,15
270,16
271,17
272,15
273,13
274,11
275,13
276,14
277,16
278,19
279,22
280,23
281,22
282,17
283,17
284,15
285,12
286,13
287,15
288,12
289,17
290,16
291,21
292,23
293,19
294,17
295,15
296,11
297,14
298,13
299,12
300,14
301,18
302,16
303,16
304,18
305,16
306,18
307,17
308,14
309,14
310,17
311,16
312,20
313,16
314,17
315,9
316,11
317,12
318,13
319,12
320,11
321,15
322,14
323,23
324,25
325,20
326,16
327,13
328,20
329,23
330,22
331,20
332,15
333,11
334,13
335,14
336,12
337,12
338,12
339,8
340,8
341,10
342,11
343,10
344,10
345,11
346,9
347,8
348,9
349,11
350,13
351,13
352,11
353,16
354,18
355,21
356,17
357,11
358,10
359,18
360,16
361,18
362,15
363,18
364,17
365,12
366,14
367,13
368,12
369,10
370,10
371,12
372,13
373,16
374,14
375,14
376,13
377,17
378,21
379,19
380,19
381,15
382,18
383,19
384,16
385,16
386,17
387,18
388,24
389,25
390,21
391,19
392,17
393,20
394,17
395,18
396,18
397,19
398,15
399,16
400,19
401,20
402,17
403,16
404,13
405,11
406,12
407,14
408,16
409,18
410,13
411,17
412,14
413,13
414,11
415,17
416,12
417,14
418,14
419,15
420,14
421,14
422,13
423,17
424,17
425,16
426,16
427,20
428,18
429,15
430,16
431,17
432,14
433,13
434,7
435,13
436,12
437,13
438,14
439,16
440,17
441,20
442,20
443,18
444,23
445,22
446,21
447,20
448,23
449,19
450,12
451,12
452,12
453,11
454,15
455,15
456,15
457,16
458,9
459,10
460,10
461,13
462,12
463,13
464,14
465,15
466,18
467,21
468,20
469,15
470,14
471,17
472,24
473,27
474,28
475,20
476,23
477,19
478,21
479,24
480,27
481,29
482,32
483,33
484,32
485,34
486,34
487,32
488,29
489,28
490,24
491,19
492,17
493,12
494,12
495,15
496,14
497,13
498,14
499,13
500,13
