,n_problematic_contacts
0,30
1,26
2,27
3,25
4,23
5,24
6,24
7,22
8,25
9,26
10,27
11,27
12,32
13,36
14,34
15,35
16,35
17,40
18,34
19,38
20,37
21,37
22,37
23,41
24,44
25,43
26,47
27,49
28,44
29,41
30,34
31,38
32,38
33,36
34,39
35,36
36,46
37,41
38,46
39,48
40,41
41,43
42,45
43,47
44,47
45,46
46,56
47,64
48,69
49,70
50,69
51,76
52,68
53,66
54,72
55,82
56,99
57,99
58,109
59,109
60,115
61,95
62,103
63,113
64,123
65,120
66,117
67,124
68,129
69,136
70,131
71,133
72,142
73,146
74,130
75,120
76,130
77,119
78,118
79,116
80,113
81,111
82,109
83,105
84,103
85,103
86,105
87,95
88,90
89,84
90,77
91,69
92,65
93,65
94,63
95,63
96,60
97,55
98,52
99,55
100,56
101,55
102,59
103,56
104,61
105,63
106,63
107,66
108,58
109,57
110,58
111,66
112,61
113,60
114,61
115,55
116,54
117,57
118,58
119,60
120,60
121,51
122,48
123,50
124,56
125,47
126,51
127,50
128,56
129,54
130,57
131,66
132,66
133,68
134,67
135,62
136,57
137,57
138,56
139,52
140,49
141,49
142,52
143,53
144,63
145,64
146,62
147,55
148,56
149,56
150,52
151,53
152,52
153,56
154,57
155,54
156,55
157,56
158,58
159,57
160,46
161,43
162,35
163,34
164,37
165,38
166,36
167,38
168,37
169,40
170,43
171,42
172,42
173,54
174,57
175,57
176,55
177,63
178,58
179,61
180,62
181,61
182,56
183,53
184,52
185,46
186,48
187,47
188,47
189,50
190,59
191,50
192,52
193,44
194,40
195,39
196,40
197,39
198,39
199,41
200,38
201,30
202,32
203,31
204,30
205,26
206,28
207,31
208,32
209,36
210,34
211,35
212,35
213,33
214,35
215,35
216,41
217,43
218,44
219,44
220,45
221,45
222,48
223,51
224,56
225,50
226,52
227,52
228,40
229,36
230,34
231,30
232,32
233,34
234,38
235,38
236,39
237,36
238,38
239,37
240,40
241,43
242,40
243,43
244,45
245,43
246,43
247,43
248,45
249,49
250,50
251,48
252,44
253,46
254,51
255,49
256,46
257,45
258,44
259,44
260,43
261,42
262,38
263,41
264,45
265,46
266,50
267,49
268,40
269,38
270,37
271,35
272,35
273,34
274,37
275,34
276,37
277,33
278,30
279,33
280,31
281,29
282,26
283,28
284,21
285,19
286,19
287,26
288,24
289,24
290,22
291,26
292,26
293,30
294,32
295,34
296,31
297,32
298,32
299,35
300,40
301,42
302,44
303,50
304,51
305,41
306,44
307,45
308,38
309,37
310,46
311,42
312,39
313,40
314,43
315,42
316,44
317,41
318,42
319,56
320,49
321,40
322,36
323,32
324,32
325,32
326,29
327,28
328,25
329,26
330,28
331,28
332,34
333,36
334,38
335,42
336,38
337,37
338,42
339,40
340,40
341,40
342,45
343,41
344,37
345,40
346,40
347,38
348,35
349,38
350,33
351,34
352,33
353,32
354,31
355,33
356,33
357,36
358,35
359,28
360,28
361,29
362,27
363,29
364,29
365,31
366,33
367,36
368,35
369,39
370,38
371,37
372,38
373,34
374,39
375,38
376,37
377,36
378,35
379,38
380,40
381,32
382,38
383,33
384,37
385,37
386,39
387,42
388,43
389,45
390,42
391,41
392,41
393,38
394,32
395,33
396,43
397,44
398,52
399,48
400,46
401,43
402,39
403,39
404,40
405,38
406,34
407,38
408,33
409,34
410,30
411,35
412,36
413,38
414,38
415,31
416,29
417,38
418,41
419,44
420,42
421,44
422,41
423,40
424,42
425,47
426,52
427,53
428,55
429,54
430,55
431,52
432,49
433,55
434,57
435,61
436,59
437,60
438,56
439,51
440,42
441,43
442,47
443,46
444,48
445,49
446,54
447,53
448,54
449,54
450,52
451,51
452,48
453,41
454,42
455,44
456,47
457,48
458,47
459,49
460,51
461,47
462,39
463,42
464,42
465,34
466,31
467,23
468,24
469,26
470,28
471,27
472,26
473,27
474,34
475,39
476,41
477,43
478,42
479,42
480,33
481,35
482,34
483,34
484,40
485,47
486,51
487,57
488,62
489,65
490,67
491,68
492,67
493,66
494,64
495,65
496,63
497,60
498,63
499,64
500,61
